Brand, Price, OperatingSystem, Description 
Huawei,549,<li><strong>Operating System:</strong> Android</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=23B-001M-00227" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6" Titanium Gray| 128GB Storage 6GB RAM) US Warranty</a>
Honor,499,<li><strong>Operating System:</strong> EMUI 8.0 (compatible with Android 8.1)</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875646014" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Honor View 10 4G LTE Unlocked Cell Phone (5.99" Blue |128GB 6GB RAM)</a>
Honor,499,<li><strong>Operating System:</strong> EMUI 8.0 (compatible with Android 8.1)</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875646015" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Honor View 10 4G LTE Unlocked Cell Phone (5.99" Black |128GB 6GB RAM)</a>
Honor,199,<li><strong>Operating System:</strong> Android 7.0 Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875646013" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Honor 7X Unlocked Smartphone with Dual Camera (5.93" Black| 32GB Storage 3GB RAM) US Warranty</a>
Honor,199,<li><strong>Operating System:</strong> Android 7.0 Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875646011" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Honor 7X Unlocked Smartphone with Dual Camera (5.93" Blue| 32GB Storage 3GB RAM) US Warranty</a>
Motorola,299,<li><strong>Operating System:</strong> Android 7.1 Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875209541" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Moto X4 (4th Gen)| 5.2 Inches| FHD LTPS| 3GB RAM| 32GB Storage| Dual Rear Camera| Unlocked Cell Phone| US Warranty| Super Black (PA8S0006US)</a>
Motorola,299,<li><strong>Operating System:</strong> Android 7.1 Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875209540" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Moto X4 (4th Gen)| 5.2 Inches| FHD LTPS| 3GB RAM| 32GB Storage| Dual Rear Camera| Unlocked Cell Phone| US Warranty| Sterling blue (PA8S0007US)</a>
SAMSUNG,519,<li><strong>Operating System:</strong> Android 7.0 Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=23B-0002-00661" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Samsung Galaxy S8 G950F 64GB Unlocked GSM Phone w/ 12MP Camera - Midnight Black</a>
RAZER,799,<li><strong>Operating System:</strong> Android</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875597002" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Razer Phone 2 LTE Unlocked Gaming Phone 5.7" 64 GB 8 GB RAM</a>
Nubia,119,<li><strong>Operating System:</strong> Google UI (based on Android 6.0 Marshmallow)</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875507005" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Nubia N1 Lite 4G LTE Dual SIM Unlocked Smartphone 5.5" 2GB RAM Black/Gold| US Warranty</a>
